ID	name	x	y	side	safe	action	people	obj	description
回廊	回廊	0	0	内	安全	无	无	无	这是一条回廊，廊顶描绘着江南秀美的风景。每两根翠绿色的柱子间相隔也就两三尺的距离，朱红色的琉璃瓦，嫩黄色的地砖。在走廊里面，丫鬟、奴仆们走来走去，都忙着自己的事情，不敢有一点怠慢。往东能看见一条小径通向后花园的，西面是一条很长的走廊。 
假山	假山	0	0	外	安全	钻	无	缝隙、牌子	这里属于武馆的后花园，里面奇石嶙峋，平时很少有人到这里来。花花草草有的也已经凋谢了。左首的一块假山上有一条缝隙（feng）大的可以藏下各把人。南面小路就是通向竹林的，路前挂了一块牌子（paizi）。
假山1	假山	0	0	外	安全	移开、推、钻	无	石头、缝隙	看来很久没人到这里来了，周围杂草丛生，树木荒凉。回头就是你刚才钻过来的大缝隙（feng）。乱草树木丛中有一堆杂乱石块，其中一块光滑的大石头（shi）特别引人注目。
练功房	练功房	0	0	外	安全	无	弟子8	无	房间的四周墙上点满了火把。这里极为安静，仅能听到或悠长，或粗重的呼吸声。厅里零零落落地摆着几个蒲团，并无其他陈设。几个人正在沈城的指导下坐在蒲团上打坐（dazuo)，吐纳（tuna）。北面是一条石板路。
马厩	马厩	0	0	外	安全	打扫	管家3	无	这是武馆的马厩，里面臭烘烘的，养了几十匹马，马夫们把马牵到这里好生照看，将它们喂饱饮足，再洗刷得干乾净净。马厩中堆放著几堆草料，正中有一口泔槽，里面有些清水。
门廊	门廊	0	0	外	安全	无	弟子4	无	武馆进大门后要往里走，必须穿过这个门廊。廊顶描绘着江南秀美的风景。每两根翠绿色的柱子间相隔也就两三尺的距离，朱红色的琉璃瓦，嫩黄色的地砖。门廊正中站着一个少年，看见你来了，他笑嘻嘻地迎了上来。往北走就进入武馆的前院了。
密室	密室	0	0	外	安全	修炼	无	墙	你眼前突然出现个地下密室，密室里很小，但摆放着一些石桌石椅，石几石床，边上堆放着一些石制的器皿，都堆满了灰，看来似乎已经很久没人来过了。正对你的一堵墙壁(wall)上好象刻着些什么。
木房	木房	0	0	外	安全	锯	管家2	原木	刚进屋，你就被巨大的锯木声吵住了，这里堆了好多长的木头，准备要做柴火用的，但是在送去柴房前先得把长木头锯短成一截截的，才能用柴刀劈开。不少人正在费力的锯着木头。
偏厅	偏厅	0	0	外	安全	图	弟子2	地图	房间的四周墙上点满了火把，把整个房间照了个通明。正中的墙上挂着一幅地图（tu），二弟子周圻正对着地图指指点点，口中咕哝个不停。看见你走了进来，他马上迎上前来。往南走是一条走廊。
武馆前厅	武馆前厅	0	0	外	安全	无	无	横匾	这是一间完全用花岗岩砌成的房子，两旁的墙壁上插着松油火把，把大厅照的通亮，寂静的大厅中不时响起火把噼啪的燃烧声。大厅的正中摆放着一张太师椅，两旁分列着十几把椅子，正面的墙上挂着一面缕金的横匾(bian)。再往北去就是武馆的前院了。
白石路	白石路	0	0	外	安全	无	仆人	无	这是一条白石板铺成的小路，两边绿树成荫，不时有些仆人和丫鬟从你身边走来走去。往北走就是后院了，菜地，菜园和柴房都在那里。南面是一条走廊，能闻到阵阵传来的香气，你肚子不由的“咕咕”叫了起来。
小路	小路	0	0	外	安全	无	无	无	这是一条青石板铺成的小路，两边绿树成荫，不时有些仆人和丫鬟从你身边走来走去。往北就是西练武场了，南面传出马匹的嘶鸣声，而西面传来很吵杂的响声，东面却是静悄悄的。
小石路	小石路	0	0	外	安全	无	qcf	无	这是一条青石板铺成的小路，两边绿树成荫，不时有些仆人和丫鬟从你身边走来走去。西面是练武场，很多武馆弟子正在那里发奋练功。往东走就到了前院，一群弟子围在那里，不知道在看什么。
碎石路	碎石路	0	0	外	安全	无	无	无	这是一条青石板铺成的小路，两边绿树成荫，不时有些仆人和丫鬟从你身边走来走去。往西走就到了前院，一大群弟子围在那里，不知道在看什么。东边过去就能到练武场了，南面是一间偏厅。
书房	书房	0	0	外	安全	学习	弟子5	大字	这里是老馆主的书房，但馆主已经很久没来这里了。到是五弟子卜垣经常来这里，顺便指导一些喜欢读书的小孩们。书房周围的书架上整整齐齐地堆放着很多书籍。正对大门的那边墙上写了几个醒目的大字（dazi）。
水房	水房	0	0	外	安全	挑水	管家4	缸	一进屋，你看见屋内放着几口大缸（gang），好象是装水用的，不过缸似乎都是空的。一群武馆的弟子正在忙碌的挑着水，水房管事在一边吆喝着，督促众人不要偷懒。
冬暖阁	冬暖阁	0	0	外	安全	无	万震山	无	这里是武馆馆主万震山的卧室，房子并不大，很整洁简朴，被子叠的整整齐齐，帐子挂了起来，靠窗边摆了一盘盆景，一张小桌，放着几本书。几缕阳光透过窗外的绿荫中直射进来。
西武场	西武场	0	0	外	安全	空手对打	无	木桩、牌子	这里是个露天练武场，门口写着一块牌子。好多人在这里辛苦的练着，你走在场中，可是没有人回头看你一眼，都在聚精汇神的练着自己的功夫。地上有一些练武用的工具，墙边摆着一排木桩和几个练功用的木人。
西练武场	西练武场	0	0	外	安全	练习空手	无	沙袋、牌子	这里是个露天练武场，门口写着一块牌子。好多人在这里辛苦的练着，你走在场中，可是没有人回头看你一眼，都在聚精汇神的练着自己的功夫，墙角挂着一排大大的沙袋，一些人正在用沙袋练功。
东练武场	东练武场	0	0	外	安全	练习兵器	教头	沙坑、牌子	这里是个露天练武场，门口写着一块牌子。好多人在这里辛苦的练着，你走在场中，可是没有人回头看你一眼，都在聚精汇神的练着自己的功夫，场子的东角有一个沙坑。
东武场	东武场	0	0	外	安全	兵器对打	无	木人、牌子	这里是个露天练武场，门口写着一块牌子（paizi）。好多人在这里辛苦的练着，你走在场中，可是没有人回头看你一眼，都在聚精汇神的练着自己的功夫，墙边放着几个练功用的木人（muren）。
物品房	物品房	0	0	外	安全	借工具	吴坎	无	这里是武馆的物品房。进屋就看见一个大架子，上面整整齐齐地放满了各种物品，看来这里的管家是很认真负责的，一些人正在和管物品工具的六弟子吴坎说着什么。
文霞亭	文霞亭	0	0	外	安全	放松	无	无	这是一个宝蓝色，琉璃顶盖儿的六角小亭。武馆里的内眷若是喜欢，闲着无事，总喜欢在这里坐坐。亭子周围，花叶扶疏，秀石耸峙，奇花异草，间以苍松翠柏，布置得甚为幽雅，透过一天星月，更似景致如画。南面有座假山。
东厢房	东厢房	0	0	外	安全	无	万圭	无	这里是馆主独子万圭和戚芳居住的东厢房，透着一股醉人的芳香，令你心旷神怡。在房间的一角摆放着一张梳妆台，台上摆着一些女人用的胭脂粉和用来涂抹嘴唇的香粉，以及一瓶玉露。往里走就是卧室了。
睡房	睡房	0	0	外	安全	无	戚芳	无	蝴蝶粉贝双灯，静静地燃着，沁着淡淡一片粉红光色，宽敞的睡房，布置得可真雅致，尤其是临窗处的一溜菊花盆景，衬着轻轻挽起，薄如蝉翼的纱幔，整个卧室呈现出一派高洁清雅。。
小径	小径	0	0	外	安全	无	丫鬟1	无	一条曲曲折折用鹅卵石铺成的小径, 路两旁绿柳成荫, 一处处山石花木点缀在其中。你走在石地上，脚下啪嗒啪嗒地发出清脆的响声，前方有道小门，穿过门就能到后花园了。
石径	石径	0	0	外	安全	无	无	无	一条曲曲折折用鹅卵石铺成的小径, 路两旁绿柳成荫, 一处处山石花木点缀在其中。你走在石地上，脚下啪嗒啪嗒地发出清脆的响声。西边连接着回廊，往北面去是这条小径的延伸，东面就是文霞亭了。
男休息室	男休息室	0	0	外	安全	休息	无	无	这里是武馆内的休息室，由于经常打扫地非常干净，所以屋子透出一股清新的气息。一排床铺靠墙摆着，不断的有人进来休息或醒后离去，你也悄悄的找个空铺睡了起来。
女休息室	女休息室	0	0	外	安全	休息	无	无	这里是武馆内的休息室，由于经常打扫地非常干净，所以屋子透出一股清新的气息。一排床铺靠墙摆着，不断的有人进来休息或醒后离去，你也悄悄的找个空铺睡了起来。
驿馆	驿馆	0	0	外	安全	旅行	车夫	驿馆牌子	这是武馆的驿馆，房间很大，弥散着一股牲畜和人夹杂的气味。周围停着好几辆大车，马儿不停地嘶鸣着。一位老车夫，专门带武馆刚出门的弟子去江湖各大门派，他一见你走过来，不敢怠慢，带着笑脸连忙迎上前去。驿馆的中间有根木柱，柱子上挂着一块牌子（paizi）。
帐房	帐房	0	0	外	安全	存钱、取钱	无	账房牌子	这里是武馆的帐房，四壁雪白的墙，中间有个大柜台，柜台前上方挂着一块牌子（paizi）， 房里挤满了来存取钱款的武馆弟子，显得十分嘈杂。帐房先生是个五十多岁的老头，看见你走了进来，他笑嘻嘻地迎了上来。
竹林	竹林	0	0	外	安全	调查	无	无	这里是一大片密密的竹林，郁郁葱葱，一眼望不到尽头。微风吹拂着竹叶，令人尘心为之一涤，你在竹林里来回来去的走，想要找到出来的路，但是走了半天后发现还是没有找到出来的路。
竹林1	竹林	0	0	外	安全	调查	无	无	这里是一大片密密的竹林，郁郁葱葱，一眼望不到尽头。微风吹拂着竹叶，令人尘心为之一涤，你在竹林里来回来去的走，想要找到出来的路，但是走了半天后发现还是没有找到出来的路。
竹林2	竹林	0	0	外	安全	调查	蛇	无	这里是一大片密密的竹林，郁郁葱葱，一眼望不到尽头。微风吹拂着竹叶，令人尘心为之一涤，你在竹林里来回来去的走，想要找到出来的路，但是走了半天后发现还是没有找到出来的路。
竹林3	竹林	0	0	外	安全	调查	无	无	这里是一大片密密的竹林，郁郁葱葱，一眼望不到尽头。微风吹拂着竹叶，令人尘心为之一涤，你在竹林里来回来去的走，想要找到出来的路，但是走了半天后发现还是没有找到出来的路。
西廊	西廊	0	0	外	安全	无	无	无	这是一条走廊，廊顶描绘着江南秀美的风景。每两根翠绿色的柱子间相隔也就两三尺的距离，朱红色的琉璃瓦，嫩黄色的地砖。在走廊里面，丫鬟、奴仆们走来走去，都忙着自己的事情，不敢有一点怠慢。西面传出阵阵诱人的香气，往北走就到了后院，南面是一个练武场。
西廊1	西廊	0	0	外	安全	无	无	无	这是一条走廊，廊顶描绘着江南秀美的风景。每两根翠绿色的柱子间相隔也就两三尺的距离，朱红色的琉璃瓦，嫩黄色的地砖。在走廊里面，丫鬟、奴仆们走来走去，都忙着自己的事情，不敢有一点怠慢。往东面走就到了武馆的大厅，西面是走廊的延伸。
走廊	走廊	0	0	外	安全	无	无	无	这是一条长廊，廊顶描绘着江南秀美的风景。每两根翠绿色的柱子间相隔也就两三尺的距离，朱红色的琉璃瓦，嫩黄色的地砖。在长廊里面，丫鬟、奴仆们走来走去，都忙着自己的事情，不敢有一点怠慢。北面就是馆主的卧室了，东西两面各是东，西厢房。
走廊1	走廊	0	0	外	安全	无	无	无	这是一条长廊，廊顶描绘着江南秀美的风景。每两根翠绿色的柱子间相隔也就两三尺的距离，朱红色的琉璃瓦，嫩黄色的地砖。在长廊里面，丫鬟、奴仆们走来走去，都忙着自己的事情，不敢有一点怠慢。往北面走就能到馆主的卧室了，南面是武馆的大厅。
东廊	东廊	0	0	外	安全	无	无	无	这是一条走廊，廊顶描绘着江南秀美的风景。每两根翠绿色的柱子间相隔也就两三尺的距离，朱红色的琉璃瓦，嫩黄色的地砖。在走廊里面，丫鬟、奴仆们走来走去，都忙着自己的事情，不敢有一点怠慢。往西走就是武馆的大厅，东面是走廊的延伸，北面是一间不小的偏厅。
东廊1	东廊	0	0	外	安全	无	无	无	这是一条走廊，廊顶描绘着江南秀美的风景。每两根翠绿色的柱子间相隔也就两三尺的距离，朱红色的琉璃瓦，嫩黄色的地砖。在走廊里面，丫鬟、奴仆们走来走去，都忙着自己的事情，不敢有一点怠慢。东西两边都是走廊，北面就是老馆主的书房了。
东廊2	东廊	0	0	外	安全	偷窥	无	无	这是一条走廊，廊顶描绘着江南秀美的风景。每两根翠绿色的柱子间相隔也就两三尺的距离，朱红色的琉璃瓦，嫩黄色的地砖。在走廊里面，丫鬟、奴仆们走来走去，都忙着自己的事情，不敢有一点怠慢。往东过了回廊就能到后花园了，北面是男弟子的休息室，而南面是女弟子的休息室。
