ID	name	sect	type	target	fire	damage	fireType	range	ap	mp	rSkill	rMap	add1	add2	anim	audio	book	description	w	h	r	speed	cd	dmgt	combo	color						
三阴夺元掌	三阴夺元掌	魔教	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack11	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
无影绝命掌	无影绝命掌	魔教	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack12	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
吸星大法	吸星大法	魔教	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
百花销魂掌	百花销魂掌	巫山派	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
劈空掌	劈空掌	洞庭帮	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
吹花劈柳掌	吹花劈柳掌	洞庭帮	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
铁沙掌	铁沙掌	英雄门	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
开山掌	开山掌	神农帮	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
白鹤振翅手	白鹤振翅手	太乙教	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
虎爪手	虎爪手	宝相寺	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
裂碑手	裂碑手	宝相寺	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
劈山裂石掌	劈山裂石掌	新门派	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
天残六阳手	天残六阳手	新门派	掌	对手	3	1D4	点	32	3	6	掌法D1	无D0	根骨D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
大动指	大动指	丐帮	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
莲花指	莲花指	丐帮	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
金刚指	金刚指	少林寺	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
捻花指	捻花指	少林寺	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
一指禅	一指禅	少林寺	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
云指	云指	武当派	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
千松飞叶指	千松飞叶指	武当派	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
刻玉指	刻玉指	峨嵋派	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
贯红指	贯红指	峨嵋派	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
玄门天罡指	玄门天罡指	峨嵋派	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
云台指	云台指	华山派	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
千仞指	千仞指	华山派	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
霞光连剑指	霞光连剑指	华山派	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
幻阴指	幻阴指	魔教	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
玄天指	玄天指	魔教	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
入魔指	入魔指	魔教	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
飞花指	飞花指	巫山派	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
穿林指	穿林指	洞庭帮	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
黑风指	黑风指	洞庭帮	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
千斤指	千斤指	英雄门	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
玄冰指	玄冰指	神农帮	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
碧火指	碧火指	神农帮	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
透骨阴阳指	透骨阴阳指	神农帮	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
元修指	元修指	太乙教	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
涤星指	涤星指	太乙教	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
半偈指	半偈指	宝相寺	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
贝叶指	贝叶指	宝相寺	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
妙谛指	妙谛指	宝相寺	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack2	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
一戒伏魔指	一戒伏魔指	宝相寺	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack3	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
乾坤指	乾坤指	新门派	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack4	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
仙人指	仙人指	新门派	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack5	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
玄阳指	玄阳指	新门派	指	对手	3	1D4	点	32	3	6	指法D1	无D0	五感D1	无	Attack6	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
六脉神剑指	六脉神剑指	新门派	指	对手	5	1D12	点	32	3	6	指法D1	无D0	五感D1	无	Attack7	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
扫叶腿	扫叶腿	基本	腿	对手	3	1D6	点	32	3	6	腿法D1	无D0	身法D1	无	Attack8	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
逐犬踢	逐犬踢	丐帮	腿	对手	3	1D12	点	32	3	6	腿法D1	无D0	身法D1	无	Attack9	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
铁帚腿	铁帚腿	丐帮	腿	对手	3	1D6	点	32	3	6	腿法D1	无D0	身法D1	无	Attack10	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
迦叶腿	迦叶腿	少林寺	腿	对手	3	1D6	点	32	3	6	腿法D1	无D0	身法D1	无	Attack11	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
攀崖腿	攀崖腿	武当派	腿	对手	3	1D6	点	32	3	6	腿法D1	无D0	身法D1	无	Attack12	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
梯云腿	梯云腿	武当派	腿	对手	3	1D6	点	32	3	6	腿法D1	无D0	身法D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
碎绿曳	碎绿曳	峨嵋派	腿	对手	3	1D6	点	32	3	6	腿法D1	无D0	身法D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
莲步摇月腿	莲步摇月腿	峨嵋派	腿	对手	3	1D6	点	32	3	6	腿法D1	无D0	身法D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
豹尾脚	豹尾脚	华山派	腿	对手	3	1D6	点	32	3	6	腿法D1	无D0	身法D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
紫霞震岗腿	紫霞震岗腿	华山派	腿	对手	3	1D6	点	32	3	6	腿法D1	无D0	身法D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
回燕腿	回燕腿	巫山派	腿	对手	3	1D6	点	32	3	6	腿法D1	无D0	身法D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
翻星腿	翻星腿	巫山派	腿	对手	3	1D6	点	32	3	6	腿法D1	无D0	身法D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
出云腿	出云腿	洞庭帮	腿	对手	3	1D6	点	32	3	6	腿法D1	无D0	身法D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
湘江映月步	湘江映月步	洞庭帮	腿	对手	3	1D6	点	32	3	6	腿法D1	无D0	身法D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
连环鸳鸯腿	连环鸳鸯腿	英雄门、神农帮、太乙教、新门派	腿	对手	3	1D6	点	32	3	6	腿法D1	无D0	身法D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
乌衣跌	乌衣跌	新门派	腿	对手	3	1D6	点	32	3	6	腿法D1	无D0	身法D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
八卦刀	八卦刀	基本	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
南山刀	南山刀	丐帮、英雄门、神农帮	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
燃木刀	燃木刀	少林寺	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
玄虚刀	玄虚刀	武当派	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
蝶怨刀	蝶怨刀	峨嵋派	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
绮罗六变刀	绮罗六变刀	峨嵋派	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
蔽日刀	蔽日刀	华山派	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
反两仪刀	反两仪刀	华山派	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
三无三不刀	三无三不刀	魔教	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
流光飞月刀	流光飞月刀	魔教	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
紫坛刀	紫坛刀	巫山派	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
凤舞刀	凤舞刀	巫山派	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
巫山断魂刀	巫山断魂刀	巫山派	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
天地三绝刀	天地三绝刀	巫山派	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
九转回雁刀	九转回雁刀	洞庭帮	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
修罗刀	修罗刀	洞庭帮	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
玉虹一悬刀	玉虹一悬刀	洞庭帮	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
火焰刀	火焰刀	英雄门	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
百臂雷光刀	百臂雷光刀	英雄门	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
长白千巖刀	长白千巖刀	神农帮	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
五正五反刀	五正五反刀	神农帮	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
金乌刀	金乌刀	神农帮	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
太乙刀	太乙刀	太乙教	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
断云刀	断云刀	太乙教	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
太虚神悟刀	太虚神悟刀	太乙教	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
六阳至柔刀	六阳至柔刀	太乙教	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
无相刀	无相刀	宝相寺	刀	对手	3	2D4	点	32	3	6	刀法D1	无D0	臂力D1	无	Attack1	Attack1.ogg	无	无	2	2	0	1000	0.5	瘀伤	1	YELLOW						
