id	region	name	fname	lname	epithet	clan	country	faith	description	sex	sect	age	exp	reputation	Str	Con	Dex	Int	Wis	Cha	Luc	hp	mp	ep	actorImg	faceImg	x	y	birth	youth	adult	midage	oldage	room	state	action	target	thirsty	food	water	pain	money	head	face	shoulder	body	waist	hand	arms	leg	feet	misc	buff	debuff	skill1
戚芳	襄阳武馆	戚芳	戚	芳	无	无	宋	儒	圆圆的脸蛋，一双大眼黑溜溜的。	女	无	21	0	0	8	8	8	8	8	8	6	100	100	100	008-Fighter08.png	24.png	4	7	无	无	无	无	无	柴房	闲逛	无	无	0	100	100	0	0	无	无	无	无	无	无	无	无	无	{}	{}	{}	{"长拳"}
毒蛇	襄阳武馆	毒蛇	无	无	无	无	宋	儒	一只有着三角形脑袋的蛇，尾巴沙沙做响。	女	无	4	1000	0	8	8	8	8	8	8	6	100	100	100	008-Fighter08.png	25.png	4	8	无	无	无	无	无	柴房	闲逛	无	无	0	100	100	0	0	无	无	无	无	无	无	无	无	无	{}	{}	{}	{"长拳"}
中年乞妇	襄阳武馆	中年乞妇	无	无	无	无	宋	儒	一个中年乞妇，低头弓背，披头散发，衣服污秽破烂。	女	无	33	1000	0	8	8	8	8	8	8	6	100	100	100	008-Fighter08.png	26.png	4	9	无	无	无	无	无	柴房	闲逛	无	无	0	100	100	0	0	无	无	无	无	无	无	无	无	无	{}	{}	{}	{"长拳"}
万震山	襄阳武馆	万震山	万	震山	五云手	襄阳武馆馆主	宋	儒	这人紫金脸庞，面带威严，威武有力，站在那里就象是一座铁塔。	男	无	62	100000	0	8	8	8	8	8	8	6	100	100	100	008-Fighter08.png	27.png	4	10	无	无	无	无	无	柴房	闲逛	无	无	0	100	100	0	0	无	无	无	无	无	无	无	无	无	{}	{}	{}	{"长拳"}
王厨子	襄阳武馆	王厨子	王	厨子	无	无	宋	儒	他是襄阳武馆的厨子，胖胖的，敦厚老实。	男	无	46	2500	0	8	8	8	8	8	8	6	100	100	100	008-Fighter08.png	28.png	4	11	无	无	无	无	无	柴房	闲逛	无	无	0	100	100	0	0	无	无	无	无	无	无	无	无	无	{}	{}	{}	{"长拳"}
小丫环	襄阳武馆	小丫环	无	无	无	无	宋	儒	这是一个小丫环，容貌清秀脱俗。	女	无	14	800	0	8	8	8	8	8	8	6	100	100	100	008-Fighter08.png	29.png	4	12	无	无	无	无	无	柴房	闲逛	无	无	0	100	100	0	0	无	无	无	无	无	无	无	无	无	{}	{}	{}	{"长拳"}
丫环	襄阳武馆	丫环	无	无	无	无	宋	儒	这是一个丫环，容貌清秀脱俗。	女	无	20	1000	0	8	8	8	8	8	8	6	100	100	100	008-Fighter08.png	30.png	4	13	无	无	无	无	无	柴房	闲逛	无	无	0	100	100	0	0	无	无	无	无	无	无	无	无	无	{}	{}	{}	{"长拳"}
段誉	襄阳武馆	段誉	段	誉	傻小子	大理皇子	大理	佛	傻小子	男	大理皇族	18	0	0	10	14	14	16	12	16	6	100	100	100	008-Fighter08.png	53.png	10	10	逃出家门的傻小子	无	无	无	无	柴房	闲逛	无	无	0	100	100	0	1000	无	无	无	无	无	无	无	无	无	{}	{}	{}	{"六脉神剑指"}
虚竹	襄阳武馆	虚竹	虚	竹	傻和尚	少林弟子	宋	佛	傻小子	男	少林寺	19	0	0	16	16	12	8	10	14	6	100	100	100	008-Fighter08.png	32.png	12	12	迷路的小和尚	无	无	无	无	柴房	闲逛	无	无	0	100	100	0	20	无	无	无	无	无	无	无	无	无	{}	{}	{}	{"罗汉拳"}
乔峰	襄阳武馆	乔峰	乔	峰	北乔峰	丐帮帮主	宋	佛	丐帮帮主	男	丐帮	23	20000	20000	18	16	16	12	12	12	6	100	100	100	008-Fighter08.png	33.png	13	13	丐帮帮主	无	无	无	无	柴房	闲逛	无	无	0	100	100	0	1000	无	无	无	无	无	无	无	无	无	{}	{}	{}	{"长拳"}
慕容复	襄阳武馆	慕容复	慕容	复	南慕容	燕国后裔	燕	王	参合庄庄主	男	慕容世家	22	18000	18000	12	14	14	16	12	12	6	100	100	100	008-Fighter08.png	34.png	14	14	参合庄庄主	无	无	无	无	柴房	闲逛	无	无	0	100	100	0	2000	无	无	无	无	无	无	无	无	无	{}	{}	{}	{"长拳"}
段正淳	襄阳武馆	段正淳	段	正淳	镇南王	大理皇叔	大理	王	大理段王爷	男	大理皇族	45	16000	16000	10	14	14	16	12	18	6	100	100	100	008-Fighter08.png	35.png	9	9	大理镇南王	无	无	无	无	柴房	闲逛	无	无	0	100	100	0	5000	无	无	无	无	无	无	无	无	无	{}	{}	{}	{"长拳"}
